"id_obs","created_at","text","type","error","TOXICITY","SEVERE_TOXICITY","INSULT_EXPERIMENTAL","THREAT_EXPERIMENTAL","date"
1475935,"2022-07-27T13:47:21.000Z","@anitzpo @mcubillossigall @GiorgioJackson @gabrielboric Por favor todos los con dos dedos de frente condenamos a Pool esto no es una guerra de quien es más ridiculo en su pensar  .. esto es la seguridad nacional que estamos hablando ,no podemos permitir un terrorista nos amenace ni con este gobierno ni con ninguno !!","replied_to","No Error",0.30439767,0.011749268,0.36021477,0.015602129,2022-07-27
259340,"2022-02-24T22:01:41.000Z","@Prisca96207105 @chilelomejor @BenitoBaranda @jebus_dice @RealExpedito @Catolicosfirmes @ester22591 Se condenará viviendo la miseria humana en este mundo....ya lo verán","replied_to","No Error",0.2540519,0.01302678,0.24928534,0.009463178,2022-02-24
562779,"2022-04-04T04:04:53.000Z","@EduardoMuozGut3 @libertarioconte @joseantoniokast @patriciapolitz @fchahin Y que esperabas de un libertario, no se le pueden pedir peras al olmo, asi de sdws son","replied_to","No Error",0.3048984,0.013672344,0.3416952,0.007870848,2022-04-04
295662,"2022-12-23T00:22:36.000Z","@Hugo_Gutierrez_ Cómo aterrar niños","replied_to","No Error",0.29771072,0.023270357,0.08582769,0.34839883,2022-12-23
277776,"2022-12-17T22:02:24.000Z","@Jaime_Bassa Sigan perdiendo ‼️💩🐀","replied_to","No Error",0.37576625,0.01935331,0.4125297,0.009592636,2022-12-17
723747,"2022-03-11T16:14:46.000Z","@mcubillossigall @gabrielboric No estabas en España bañandote en el mediterraneo e un hotel de hiper lujo? .... si no, bueno ÁNDATE LUEGO VÍVORA!","replied_to","No Error",0.3389984,0.023076924,0.37619758,0.009618527,2022-03-11
156484,"2022-12-05T15:40:52.000Z","@ElisaLoncon con su discurso de inclusión cultural termina dándole el título de Universidad Bananera a la @usach","replied_to","No Error",0.22712809,0.0063323975,0.18355975,0.005906329,2022-12-05
1436151,"2022-06-02T20:55:41.000Z","@convencioncl señores si se rechaza las futuras reformas por 2/3, es para votar rechazo.  No estoy dispuesto a entregarle a los políticos la posibilidad d desarmar a sus intereses, lo conseguido en la CC. Ellos exigieron 2/3, ¿por qué ahora quieren menos?. Infelices. #2/3correcto","replied_to","No Error",0.22445217,0.0036811829,0.2469859,0.0063432488,2022-06-02
714009,"2021-11-09T12:34:50.000Z","@mcubillossigall @sebastianpinera Así es: el peor Congreso de la historia.","replied_to","No Error",0.25462922,0.0075149536,0.26957804,0.0061878995,2021-11-09
232174,"2021-09-01T02:06:37.000Z","@PiensaPrensa @baradit No hay que tomarse este tema a la ligera, grupos fanaticos como estos pueden transformarse en nuestros propios talibanes. Cuídado.","replied_to","No Error",0.25462922,0.016060932,0.24928534,0.0138755,2021-09-01
437307,"2021-10-09T18:54:27.000Z","@QuirogaCalama @TiaPikachu Pero si los pacos tocan a unos de estos “regalones” aunque sea con agua de rosas, se levantan todas las voces del rojerío y de los intelectuales pro, alegando de la represion y DDHH. Los vándalos se sienten protegidos y cuidados, porque les fueron útiles, pero ahora ya no 🤷🏻‍♂️🤫","replied_to","No Error",0.27525392,0.011367798,0.28997475,0.010602405,2021-10-09
269587,"2022-06-30T01:19:37.000Z","@berfontaine Quien te paga para mentir tanto...","replied_to","No Error",0.3281604,0.0038909912,0.38406035,0.006155535,2022-06-30
29266,"2022-11-03T22:29:47.000Z","@BSepulvedaHales Cuando a ti te pagan una beca escolar  en tu trabajo la cual  depositan directo al colegio. Es parte de tu sueldo, pork trabajas ahí, pero esa plata no llega a mi bolsillo de manera directa. Aca es los mismo cabeza dura!!","replied_to","No Error",0.2855005,0.007972717,0.3388922,0.006809296,2022-11-03
1031,"2022-06-01T01:21:30.000Z","@BSepulvedaHales @arturozunigaj Usted le acaba de poner la quinta dosis al susodicho xd","replied_to","No Error",0.28312725,0.013672344,0.26957804,0.008298059,2022-06-01
265479,"2022-02-25T09:39:24.000Z","@BSepulvedaHales Tienen estadística de cuántas mujeres se embarazan por un simple carrete?, o porque son violentadas  por su marido?, porque lo de la violación ya está cubierto en una ley, si aprueban el aborto el marido las seguirá violentando y tendrán un aborto todos los años, que solución!!!","replied_to","No Error",0.30452284,0.02453801,0.25205973,0.12382901,2022-02-25
1372043,"2021-08-12T15:52:28.000Z","@tere_marinovic Y dónde están las feminiztaaaaaz!!!? Jajaja","replied_to","No Error",0.2854937,0.01806218,0.24561718,0.006647474,2021-08-12
589482,"2021-08-12T15:11:38.000Z","@velvetmarga @ElisaLoncon @Jaime_Bassa @ahrnostoca Ley de aborto es peor que Hitler y destruirá Europa y Latinoamérica..","quoted","No Error",0.25462922,0.023076924,0.21836096,0.021127338,2021-08-12
1017153,"2022-04-22T11:24:17.000Z","@GasvelTole @jsbrunac @Mister_Wolf_0 @danielstingo Jajaja el Jaime silva me bloqueo, no aguanto la pela, ahora va a esperar sentado que el comunismo le funcione, jajaja","replied_to","No Error",0.25462922,0.012207031,0.24903896,0.009256045,2022-04-22
1218903,"2022-01-27T03:12:02.000Z","@MinjuDDHH @HernanLarrainF @convencioncl Esto es surrealista. Que forma tienen estos wns de romantizar la delincuencia. Tiene derecho a ser oído un violador, un asesino?","quoted","No Error",0.37458646,0.023076924,0.4125297,0.017846745,2022-01-27
682426,"2021-03-01T23:49:06.000Z","@robertocrg76 @pasalgadod @psperello @baradit Elabora tu respuesta... defienda su postura no sea tan básico. No tiene nada que decir? Pooobre.","replied_to","No Error",0.36095104,0.0076293945,0.42167732,0.0062396824,2021-03-01
300513,"2021-04-08T04:27:07.000Z","@HernanLarrain @guillier Larraín po wn. No se te puede pedir más.","replied_to","No Error",0.3389984,0.014511578,0.3416952,0.006809296,2021-04-08
306505,"2022-09-27T22:06:57.000Z","@vonchile @jpbarazu @berfontaine Entonces no entiendes ni una wea lo que llamas Marxismo","quoted","No Error",0.3389984,0.0128976675,0.32211447,0.0062785195,2022-09-27
1255302,"2021-01-22T01:59:57.000Z","@BombinJoaquin @Tele13_Radio @desbordes @tere_marinovic En estricto rigor; no solo la derecha quiere y necesita representantes con carácter y convicciones; tambíen la ciudadanía honesta y emprendedora para poder trabajar en seguridad, y no ser amedrentados x insurrectos zurdos.","replied_to","No Error",0.27975297,0.013285006,0.31740165,0.007948523,2021-01-22
505985,"2022-10-02T15:43:56.000Z","@FcoMunoz_TP @AgustinLaje @carreragonzalo @conectados921 @tere_marinovic @alvaroelizalde Si sigues con lo mismo ya pareces disco rallado te recuerdo que los del rechazo. Dijeron rechazar para reformar y le vendieron a la gente ese discurso el mismo que vendes tu apoyado por los que te manejan","replied_to","No Error",0.23198941,0.005836487,0.2435641,0.006356194,2022-10-02
1466697,"2022-07-26T22:50:10.000Z","@mcubillossigall @gabrielboric A uds no se les cree ni lo q rezan!!","replied_to","No Error",0.26293078,0.0065612793,0.27969417,0.006356194,2022-07-26
60253,"2022-05-05T11:36:19.000Z","@conihube El justo precio es el valor de mercado…….. que rabia la gente ignorante con plataformas grandes!!!! 😡😡","replied_to","No Error",0.3375374,0.0051498413,0.40243408,0.0057412707,2022-05-05
684775,"2022-09-23T20:03:39.000Z","@Jaime_Bassa Ya pasó tú tiempo y hablaste demasiado y mal....ahora te corresponde reconocer tus errores y quedarte calladito mejor","replied_to","No Error",0.3266089,0.0073623657,0.38852,0.007819066,2022-09-23
756497,"2021-07-10T14:46:56.000Z","@ElisaLoncon @MattyLL @PatriotaSiemore y si hubiera sido con beca ? qué onda ? los ricos estudian con becas en el extranjero...o con $$ de sus padres. Se dan cuenta hasta dónde llega la estupidez? ahora se cuestiona el PAGO ? CORTEN EL WEB...","replied_to","No Error",0.3317266,0.013801457,0.34203702,0.008181547,2021-07-10
2484857,"2022-04-23T05:34:27.000Z","@juanpabloswett @convencioncl Pobres chinos , no saben lo que se les viene encima .","replied_to","No Error",0.28548008,0.02296847,0.24835461,0.00789674,2022-04-23
1029704,"2022-03-05T16:30:58.000Z","@APPA_73 @RosariodeFerna1 @tere_marinovic Si, cual es el problema de ser resistencia al comunismo/socialismo? Es un deber moral ser anticomunista que es igual día ser antinazi...ambas ideologías nefastas y asesinas.","replied_to","No Error",0.3281604,0.02425631,0.3493834,0.015256803,2022-03-05
