"id_obs","coder_1","coder_2","consensus","sec_create_1","sec_create_2","sec_review_1","sec_review_2","created_at","text","type","error","TOXICITY","SEVERE_TOXICITY","INSULT_EXPERIMENTAL","THREAT_EXPERIMENTAL","date","tox_60","tox_70","tox_80","tox_90","insult_60","insult_70","insult_80","insult_90"
87602,0,0,1,6,3,3,0,"2021-07-07T23:07:14.000Z","@el_sr_nose_ @berfontaine @latercera Por lo enriquecedor dices tu?","replied_to","No Error",0.103928015,0.0014591217,0.06669625,0.005538993,"2021-07-07",0,0,0,0,0,0,0,0
96521,1,1,1,10,4,4,0,"2022-11-08T23:10:06.000Z","@berfontaine Búscate un trabajo honesto !!!!!","replied_to","No Error",0.18744208,0.0031089783,0.17486192,0.0058027627,"2022-11-08",0,0,0,0,0,0,0,0
97670,0,0,1,28,14,17,0,"2022-02-14T11:48:39.000Z","@conihube @convencioncl @conihube te molesta que se plantee repensar la constitución en Chile?, o que esto lo hagan personas democráticamente electos y no entre 4 paredes?","replied_to","No Error",0.034984488,0.0011348724,0.02264188,0.005589158,"2022-02-14",0,0,0,0,0,0,0,0
99189,0,0,1,11,13,5,0,"2022-07-09T01:52:36.000Z","@latercera @berfontaine @pulso_tw se nota claramente, un curso intensivo si iban a gobernar seria ya  bueno, o crecen o se van, pero a Chile no lo dañaran.","replied_to","No Error",0.06817148,0.002002716,0.045593183,0.00636914,"2022-07-09",0,0,0,0,0,0,0,0
112658,0,0,1,5,13,0,0,"2022-09-08T18:07:08.000Z","@BRebolledoD17 @arturozunigaj Utilizan a niños para sus fines extremistas. Esto es el producto del adoctrinamiento en total impunidad en los colegios, ¿quien le pone el cascabel al gato?","replied_to","No Error",0.17285149,0.0064849854,0.15627414,0.006861079,"2022-09-08",0,0,0,0,0,0,0,0
116380,0,0,1,6,7,3,0,"2021-07-08T21:25:08.000Z","@WOLCITO @Jorgerosalescl @criordor Si, gracias. Ya lo subió 👏🏻👏🏻👏🏻","replied_to","No Error",0.0043038763,0.0002670288,0.0061543677,0.0054758824,"2021-07-08",0,0,0,0,0,0,0,0
125418,0,0,1,17,6,3,0,"2021-08-11T23:22:38.000Z","@NerioM @andres_vial @24HorasTVN @fernando_atria @Jaime_Bassa @criordor no son perdidas dejaron de ganar solamente","replied_to","No Error",0.028385026,0.00066280365,0.020772645,0.0056603593,"2021-08-11",0,0,0,0,0,0,0,0
125914,0,0,1,5,3,2,0,"2021-09-17T02:39:23.000Z","@BSepulvedaHales Si no lo han discutido lo harán y todos ya saben para dónde quieren llevar el tema...","replied_to","No Error",0.016587202,0.00041246414,0.014124917,0.005767162,"2021-09-17",0,0,0,0,0,0,0,0
128830,0,0,1,4,3,2,0,"2021-09-18T11:05:27.000Z","@AmpueroAdriana No, no andan nada. Son así.","replied_to","No Error",0.10783285,0.0014972687,0.07808672,0.005773635,"2021-09-18",0,0,0,0,0,0,0,0
155969,0,0,1,5,3,3,0,"2022-12-05T14:52:32.000Z","@Hugo_Gutierrez_ el discurso opuesto a la acción","replied_to","No Error",0.006188785,0.00016212463,0.007664877,0.0052994965,"2022-12-05",0,0,0,0,0,0,0,0
161652,0,0,1,4,2,3,0,"2022-07-14T02:55:53.000Z","@arturozunigaj @evoespueblo Jjjjaaaaaa","quoted","No Error",0.007351146,0.0004005432,0.007721877,0.0054321904,"2022-07-14",0,0,0,0,0,0,0,0
192662,0,0,1,6,3,4,0,"2022-07-16T13:09:09.000Z","@Angel_Patricio_ @arturozunigaj Yo creo que apretó cachete!","replied_to","No Error",0.08241652,0.002632141,0.03522326,0.007689608,"2022-07-16",0,0,0,0,0,0,0,0
195068,0,0,1,5,2,3,0,"2022-12-09T02:40:06.000Z","@katitaporfia @ElisaLoncon 🤦🏾‍♀️🤦🏾‍♀️🤦🏾‍♀️🤦🏾‍♀️","replied_to","No Error",0.017592486,0.0005841255,0.011540901,0.0054111537,"2022-12-09",0,0,0,0,0,0,0,0
204289,0,0,1,3,4,0,0,"2022-12-10T18:03:26.000Z","@Hugo_Gutierrez_ @Cutchile @anefchile @ColegioProfes Llamando al desorden y destruccion??","replied_to","No Error",0.030859824,0.0015163422,0.02012808,0.0065115434,"2022-12-10",0,0,0,0,0,0,0,0
212787,0,0,1,10,5,6,0,"2022-03-27T16:41:08.000Z","@tinruizc @Pa__tty @christianpviera @vanessahoppe21 @defensorianinez Pero por qué no podría tener rango constitucional? Muchas organizaciones se han quejado que no está incluído","replied_to","No Error",0.00713124,0.00030994415,0.00821588,0.0053512794,"2022-03-27",0,0,0,0,0,0,0,0
228412,0,0,1,8,6,5,0,"2022-10-01T14:17:34.000Z","@baradit Y ??? No fueron todos no mezcle peras con manzanas","replied_to","No Error",0.16158698,0.004272461,0.09270445,0.005864255,"2022-10-01",0,0,0,0,0,0,0,0
235337,0,0,1,5,7,0,0,"2022-03-29T20:42:58.000Z","@DanieIL_RRA @berfontaine No digo que sea obligatoria. El punto es que están dispuestos a perder la propiedad por un poco más de pensión, traspasándola a un privado. En un sistema de seguridad social no sería diferente, una pensión digna sin tener propiedad.","replied_to","No Error",0.00816794,0.0003838539,0.008880884,0.005472646,"2022-03-29",0,0,0,0,0,0,0,0
244034,0,0,1,2,5,0,0,"2022-12-13T22:34:39.000Z","@baradit Ya hay campaña del terror. Tu la acabas de empezar.","replied_to","No Error",0.1537979,0.0063705444,0.0816321,0.020609349,"2022-12-13",0,0,0,0,0,0,0,0
246328,0,0,1,12,16,0,0,"2022-03-30T02:17:45.000Z","@MarcosBarrazaG @PCdeChile @PrensaPCdeChile @fernando_atria @Jaime_Bassa @patriciapolitz @LegadoBachelet @BSepulvedaHales Los candidatos de la CC son lo menos representativo de la sociedad. Su relación electos vs votos es la mas alta demostrando que no están los mas votados.","replied_to","No Error",0.033334624,0.0011062622,0.025284592,0.0054613184,"2022-03-30",0,0,0,0,0,0,0,0
246653,0,0,1,16,10,0,0,"2021-01-02T23:54:06.000Z","@cristobalrojas @CatalinaPerezS @felipeharboe Por eso digo que se puede criticar su actuar y falta de compromiso pero quienes finalmente lo pueden juzgar sin sus electores dejándolo fuera. Si fue electo y si lo es, hay que respetar a las personas que votan por él pero no prohibir que se presente","replied_to","No Error",0.019854378,0.0005555153,0.017614283,0.0056603593,"2021-01-02",0,0,0,0,0,0,0,0
252529,0,0,1,9,8,3,0,"2022-07-20T12:13:23.000Z","@moandradea @adnradiochile @Sougarret @LeonardoHonores @GraceAlbornozL @berfontaine @desbordes @ximerincon @PensarPublico Yo no quiero mantener eso, yo soy un chico de España que se apellida igual que uno de sus políticos en Chile (y con el que no coincido en ninguna idea)","replied_to","No Error",0.024731753,0.00088214874,0.018710041,0.005524429,"2022-07-20",0,0,0,0,0,0,0,0
256736,0,0,1,5,3,3,0,"2021-06-28T16:50:54.000Z","@MillaburAdolfo 🤣🤣🤣","replied_to","No Error",0.02826718,0.004005432,0.0151129225,0.0057703983,"2021-06-28",0,0,0,0,0,0,0,0
262390,0,0,1,4,3,3,0,"2022-10-11T12:55:47.000Z","@Gennosuke73 @Hugo_Gutierrez_ 😂😂😂😂😂","replied_to","No Error",0.009361716,0.0012969971,0.008044879,0.0054257177,"2022-10-11",0,0,0,0,0,0,0,0
265570,0,0,1,3,4,2,0,"2021-10-04T18:27:24.000Z","@ketty2409 @ElisaLoncon Es cómplice!!","replied_to","No Error",0.008293601,0.00024676323,0.009070885,0.005360989,"2021-10-04",0,0,0,0,0,0,0,0
268730,0,0,1,4,3,2,0,"2022-10-12T01:10:50.000Z","@Hugo_Gutierrez_ 62% quiere Senado, asúmelo……","replied_to","No Error",0.011372286,0.00039815903,0.0103248935,0.0054775006,"2022-10-12",0,0,0,0,0,0,0,0
268856,0,0,1,5,6,0,0,"2022-09-25T16:21:45.000Z","@berfontaine Cómo es o no es la plata de la gente??? Ya decídete!!!! Con mi plata no, no será heredable, me los van a expropiar","replied_to","No Error",0.03545588,0.00091552734,0.025542418,0.005773635,"2022-09-25",0,0,0,0,0,0,0,0
272768,0,0,1,5,12,0,0,"2022-12-17T01:15:49.000Z","@Jaime_Bassa Cuando queramos saber la opinión de alguien con experiencia haciendo fracasar CC le preguntamos Jaime Bassa!!!! 🤣","replied_to","No Error",0.13388206,0.0020313263,0.09855611,0.0055972487,"2022-12-17",0,0,0,0,0,0,0,0
284833,0,0,1,22,11,3,0,"2021-08-27T14:52:40.000Z","@PolyTuteleers @cerecedacastro @conihube No romanticemos las cosas, una cosa es que sean vagos y no trabajen pero otra es trabajar en exceso, ni ella ni los demás van a hacer bien su pega, por lo mismo en el mundo se barajan opciones de trabajar no mas allá de 8 horas","quoted","No Error",0.14950264,0.0033569336,0.1087965,0.0057250885,"2021-08-27",0,0,0,0,0,0,0,0
285635,0,0,1,5,4,2,0,"2022-04-20T00:32:31.000Z","@berfontaine Osea va a votar apruebo... Que buena noticia...","replied_to","No Error",0.008293601,0.00039339066,0.008633883,0.0055503207,"2022-04-20",0,0,0,0,0,0,0,0
293796,0,0,1,4,4,2,0,"2022-05-17T12:32:00.000Z","@CarolCBown Cuenta parodia?","replied_to","No Error",0.011749268,0.0003039837,0.010286893,0.0053739343,"2022-05-17",0,0,0,0,0,0,0,0
303689,0,0,1,4,5,2,0,"2022-05-17T21:27:27.000Z","@R_SaavedraM @berfontaine Valiente y dice la verdad","replied_to","No Error",0.0042096307,0.00022292137,0.0064488696,0.0053715073,"2022-05-17",0,0,0,0,0,0,0,0
313728,1,1,1,8,8,0,0,"2022-11-12T00:40:58.000Z","@Hugo_Gutierrez_ Ese animal tiene hijos","replied_to","No Error",0.17805049,0.008277893,0.15769513,0.006155535,"2022-11-12",0,0,0,0,0,0,0,0
314663,0,0,1,7,5,2,0,"2022-04-20T14:15:24.000Z","@SofaFer62960676 @conihube @TwitterLatAm Sino lo hace Boric lo hará el que venga después, si no se deja por escrito es un hecho","replied_to","No Error",0.01218908,0.0004696846,0.010590895,0.0058157085,"2022-04-20",0,0,0,0,0,0,0,0
316441,0,0,1,2,53,0,0,"2022-11-14T14:09:08.000Z","@gonzadelartico @cretton15 La salud pública es increíble y deberíamos estar todos en ella?","replied_to","No Error",0.005089255,0.00026464462,0.006781372,0.0053585614,"2022-11-14",0,0,0,0,0,0,0,0
331247,0,0,1,7,11,3,0,"2021-10-06T16:44:00.000Z","@ConectaTV2 @ElisaLoncon y @Jaime_Bassa cuando recibirán a las víctimas del terrorismo en la Provincia de Arauco y La Araucania? Cri cri cri cri…","replied_to","No Error",0.11181668,0.0075531006,0.06477321,0.010990778,"2021-10-06",0,0,0,0,0,0,0,0
345483,0,0,1,5,7,2,0,"2021-09-07T19:40:05.000Z","@Florencilla53 @TERE_LAprofe73 @ElisaLoncon ""Si sale bien si sale mal""😳 loteria y a que precio. Dios mio !!!","replied_to","No Error",0.02920996,0.0008010864,0.018516673,0.0057186154,"2021-09-07",0,0,0,0,0,0,0,0
348332,0,0,1,3,2,2,0,"2021-10-07T13:03:27.000Z","@turbogigi @felipeharboe","replied_to","No Error",0.019351736,0.00333786,0.010932897,0.006433869,"2021-10-07",0,0,0,0,0,0,0,0
348562,0,0,1,7,7,2,0,"2021-09-07T23:05:14.000Z","@MaldoForestry @TiaPikachu Así es, ya que, esos 2 millones como dice ella, es el único ingreso monetario, se dividen por el total de todos los integrantes del hogar. Y si esa división da menos de 800.000 por persona, ese hogar es beneficiario!","replied_to","No Error",0.006754258,0.00032424927,0.008405882,0.005334288,"2021-09-07",0,0,0,0,0,0,0,0
354652,0,0,1,4,3,2,0,"2021-11-13T22:45:04.000Z","@ElisaLoncon @gdominguez_ @PedroMunozLeiva @tomaslaibe 👏👏👏👏 mi presidenta favorita !!!!","replied_to","No Error",0.0035499125,0.00028967857,0.006068867,0.005383644,"2021-11-13",0,0,0,0,0,0,0,0
363974,0,0,1,6,7,0,0,"2022-10-25T13:50:38.000Z","@Rodolfoguila1 @likemefast1 @CarlitoszamoraS @baradit Rechazaron y ahora andan pidiendo que les hagan un perdonazo, chistosos. Tenían ""sentido común"" solo cuando les convenía.","replied_to","No Error",0.16098402,0.00333786,0.15769513,0.0059775305,"2022-10-25",0,0,0,0,0,0,0,0
376007,0,0,1,5,5,2,0,"2022-12-01T04:07:25.000Z","@jorgeerrazuriz @PatoFdez estarìa bueno que esto lo vea @gabrielboric no?","replied_to","No Error",0.018849092,0.0009584427,0.012414906,0.006084333,"2022-12-01",0,0,0,0,0,0,0,0
379997,0,0,1,4,3,2,0,"2022-04-22T22:37:22.000Z","@ohsolemiooooo @IsaLechuga1 @YodaZurdo @berfontaine @arturozunigaj @tere_marinovic @rocicantuarias Ja ya po saludos .","replied_to","No Error",0.025203144,0.0012302399,0.015720926,0.0057865805,"2022-04-22",0,0,0,0,0,0,0,0
382657,0,0,1,5,7,0,0,"2021-01-18T12:45:29.000Z","@felipeharboe Gran verdad! Eso me di cuenta empezó a suceder con el ps desde el estallido en Chile, desconocí a tantos! La libertad de expresión atropelló la libertad de otros! De verdad, me sentí decepcionada","replied_to","No Error",0.13041082,0.0038909912,0.09563028,0.006155535,"2021-01-18",0,0,0,0,0,0,0,0
388892,0,0,1,5,11,2,0,"2021-01-19T04:11:12.000Z","@Hugo_Gutierrez_ @ceciliaheyder La dictadura cubana","replied_to","No Error",0.15766735,0.008735657,0.0813853,0.006530962,"2021-01-19",0,0,0,0,0,0,0,0
418275,0,0,1,8,9,2,0,"2022-05-31T13:31:34.000Z","@JuanCar57351167 @mespinozavidal @berfontaine Todos ganamos eso es legal nadie trabaja gratis","replied_to","No Error",0.011120965,0.00042676926,0.010020891,0.0053617978,"2022-05-31",0,0,0,0,0,0,0,0
431647,0,0,1,14,7,2,0,"2021-07-05T02:30:47.000Z","@ElisaLoncon @EmbCanChile por los niños indígenas de las primeras naciones de lo que hoy es Canadá. Amor eterno a esos niños que fueron muertos por los colonialistas.","replied_to","No Error",0.16331999,0.012574885,0.08434689,0.025789235,"2021-07-05",0,0,0,0,0,0,0,0
436155,0,0,1,5,3,3,0,"2022-11-01T09:10:49.000Z","@tere_marinovic @BotCheckerCL Dilo @tere_marinovic","replied_to","No Error",0.067380086,0.0073623657,0.03335018,0.00967031,"2022-11-01",0,0,0,0,0,0,0,0
438776,0,0,1,5,8,1,0,"2022-09-05T00:21:55.000Z","@gdominguez_ Gaspar, tu tienes que seguir, tu aporte al proceso no se puede detener. Muchas gracias","replied_to","No Error",0.005780388,0.00022530556,0.0077028773,0.005443518,"2022-09-05",0,0,0,0,0,0,0,0
453643,0,0,1,4,4,2,0,"2022-12-13T00:48:09.000Z","@tere_marinovic Se nota la mano de Piñera en esto...","replied_to","No Error",0.01859777,0.0004506111,0.01625293,0.0055017737,"2022-12-13",0,0,0,0,0,0,0,0
456227,0,0,1,13,11,2,0,"2022-12-13T03:07:24.000Z","@tere_marinovic Señora Teresa Marinovic, porfavor, postule de nuevo para el consejo. No hay que dejar que Chilevamos se apodere del consejo.","replied_to","No Error",0.025203144,0.0006866455,0.018967867,0.0056506502,"2022-12-13",0,0,0,0,0,0,0,0
466796,0,0,1,5,5,2,0,"2022-08-27T17:26:15.000Z","@amorenoe Donde están las mujeres ? Jajaja","replied_to","No Error",0.10739898,0.004386902,0.036435258,0.0058027627,"2022-08-27",0,0,0,0,0,0,0,0
484367,0,0,1,4,3,2,0,"2022-06-15T02:47:52.000Z","@IgnacioAchurra Sigue soñando 🤣🤣","replied_to","No Error",0.05750068,0.0009870529,0.034782536,0.0055843033,"2022-06-15",0,0,0,0,0,0,0,0
490343,0,0,1,8,9,0,0,"2021-05-09T00:01:34.000Z","@karina_ol @elfrente_amplio @ComunesCL @PCdeChile @Camila_RojasV @GiorgioJackson @gabrielboric @Claudia_Mix @siliconvalle @danielstingo @KarolCariola OTRO  ministro,y los de élite se hacen los lesos,con muchos  que no tiene un computador, menos internet, sus padre sin trabajo,o con suedos menores,en colegios,donde están igual que en su casa hacinado,y tienen el descaro de decir educación de excelencia  para todos,Desigualdad🤬","replied_to","No Error",0.19893374,0.0060272217,0.16890354,0.006051969,"2021-05-09",0,0,0,0,0,0,0,0
491844,0,0,1,38,5,7,0,"2021-10-12T11:44:43.000Z","@baradit Tan ""Arcaico"" , como él..","replied_to","No Error",0.11479026,0.0018882751,0.08831572,0.0056830146,"2021-10-12",0,0,0,0,0,0,0,0
494424,0,1,0,16,9,1,0,"2022-02-14T22:37:11.000Z","@ElisaLoncon @MEQChile Otro botadero de plata.. como ustedes no la producen les da lo mismo… como dijo una grande “ el socialismo se acaba cuando se acaba la plata de los demás “","replied_to","No Error",0.15932569,0.0043296814,0.13245803,0.0063238298,"2022-02-14",0,0,0,0,0,0,0,0
494733,0,0,1,4,4,2,0,"2021-08-07T16:03:51.000Z","@ElisaLoncon Cómo cuál sería el avance????","replied_to","No Error",0.0038169413,0.00022172928,0.0060878675,0.005348043,"2021-08-07",0,0,0,0,0,0,0,0
517946,0,0,1,8,4,2,0,"2021-05-13T03:31:17.000Z","@betgerber @fernando_atria Poduje hablando de realidades paralelas 😅😅😅🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️","replied_to","No Error",0.033334624,0.0006532669,0.022448512,0.0053820256,"2021-05-13",0,0,0,0,0,0,0,0
525562,0,0,1,11,8,0,0,"2021-10-14T12:58:52.000Z","@oscarcaceres @baradit Pero porque los militares tienen derechos de agua,quien controla esas entradas de dinero,pero por favor!!!que manera de pasar por encima de la gente .","replied_to","No Error",0.04711028,0.0009250641,0.032909457,0.005603722,"2021-10-14",0,0,0,0,0,0,0,0
536959,0,0,1,8,6,2,0,"2022-11-10T15:14:07.000Z","@tere_marinovic Amorosa, al menos tú, no vas a trabajar en ningún puesto, no te preocupes","replied_to","No Error",0.16851899,0.0038146973,0.13607834,0.0066086366,"2022-11-10",0,0,0,0,0,0,0,0
549043,0,0,1,7,3,0,0,"2021-07-06T04:56:31.000Z","@RafaelHarvey3 @baradit Lo partió en 2 jajajajak bien ahi mantengo mi voto grande @baradit ...","replied_to","No Error",0.049584184,0.002708435,0.023995465,0.011379151,"2021-07-06",0,0,0,0,0,0,0,0
550802,0,0,1,12,17,2,0,"2022-03-28T20:03:26.000Z","@AndreaLaCoss @baradit 67 convencionales plenamente identificados se vendieron a las Naciones Unidas, igual que quién escribió el primer borrador (Michelle Bachelet). El fin de todo esto es que el pueblo apruebe una constitución con que Chile ayude a países pobres de América, como: Haití y Venezuela.","replied_to","No Error",0.071337044,0.002298355,0.04207976,0.005883674,"2022-03-28",0,0,0,0,0,0,0,0
558765,0,0,1,3,3,1,0,"2022-05-07T12:54:54.000Z","@fernando_atria Es que la palabra ""justo"" es un poco relativa.","replied_to","No Error",0.0045551974,0.00017881393,0.0068003717,0.005291405,"2022-05-07",0,0,0,0,0,0,0,0
578994,0,0,1,6,8,1,0,"2022-03-30T17:08:27.000Z","🔴 Vicepresidente @gdominguez_ cierra la puerta a extender el tiempo de trabajo de la Convención y dice que borrador de la nueva Constitución se entregará el 5 de julio. (@latercera)","replied_to","No Error",0.0075710523,0.0003039837,0.009032886,0.005458082,"2022-03-30",0,0,0,0,0,0,0,0
581316,0,0,1,4,3,2,0,"2022-06-22T06:48:04.000Z","@LTransaction @Gigi_NoMasOdio @Hugo_Gutierrez_ Fuentes?","replied_to","No Error",0.022964042,0.0008869171,0.01465692,0.00560534,"2022-06-22",0,0,0,0,0,0,0,0
584414,0,1,0,12,8,1,0,"2022-07-05T16:14:53.000Z","@nata_tt1 @Marccetto @ElisaLoncon @Solshra @MEQChile @Constindigena Que fácil opinar desde Canada, porque no viene a sufrir lo que sufrimos los que estamos acá, con la delincuencia hasta el cuello y la carestía sin ninguna ayuda del gobierno del pueblo?","replied_to","No Error",0.15932569,0.006713867,0.08558089,0.009126588,"2022-07-05",0,0,0,0,0,0,0,0
608960,0,0,1,9,9,0,0,"2021-05-18T23:37:33.000Z","@Jaime_Bassa Felicitaciones @JaimeBassa...Lastima que soy del distrito 25 ..Pero cuando compita en las proximas presidenciales ahi mi voto seguro a ud.","replied_to","No Error",0.027442247,0.0006914139,0.021417208,0.0056312317,"2021-05-18",0,0,0,0,0,0,0,0
610741,0,0,1,613,3,2,0,"2021-02-18T08:43:46.000Z","@ElisaLoncon @carlospizarro75 TE QUEDASTES EN EL PASADO NENA!","replied_to","No Error",0.03828422,0.00084400177,0.026960457,0.005563266,"2021-02-18",0,0,0,0,0,0,0,0
610761,0,0,1,3,4,0,0,"2021-07-07T05:02:55.000Z","@jgalemparte @ElisaLoncon @Jaime_Bassa Un lujo de convencionales!  Lo que Chile merece 👏","replied_to","No Error",0.031449065,0.0016403198,0.020966014,0.0061878995,"2021-07-07",0,0,0,0,0,0,0,0
617591,0,1,0,10,32,0,0,"2021-10-19T20:49:50.000Z","@convencioncl @Jaime_Bassa Eso!! Excelente idea @Jaime_Bassa !! Sesionemos en otro lugar, pagando hospedaje y alimentación, es la única forma de que @danielstingo coma algo.","replied_to","No Error",0.02779579,0.00082969666,0.020643732,0.0055940123,"2021-10-19",0,0,0,0,0,0,0,0
619059,0,0,1,2,3,0,0,"2022-01-05T02:31:35.000Z","@Ktymontealegre Eso es bueno","replied_to","No Error",0.0034870822,0.00028967857,0.005741115,0.0054483726,"2022-01-05",0,0,0,0,0,0,0,0
621919,0,0,1,4,4,2,0,"2022-11-22T00:48:34.000Z","@tere_marinovic Jajajajaja jajajajaja jajajaja","replied_to","No Error",0.008482091,0.00047683716,0.007835878,0.0054742643,"2022-11-22",0,0,0,0,0,0,0,0
622956,0,0,1,3,2,2,0,"2021-02-20T18:14:04.000Z","@titocl @canoso101951 @fernando_atria No","replied_to","No Error",0.014890783,0.00059366226,0.011122898,0.00553252,"2021-02-20",0,0,0,0,0,0,0,0
626585,0,0,1,6,5,2,0,"2021-05-19T23:07:25.000Z","@ab_eddo @baradit Tendría que sacar a unos cuantos más.","replied_to","No Error",0.020842785,0.0010681152,0.013972916,0.008026198,"2021-05-19",0,0,0,0,0,0,0,0
643177,0,0,1,5,7,1,0,"2021-05-21T14:04:58.000Z","@baradit Teno_jak... Las ultimas 3 letras no será José Antonio Kast??","replied_to","No Error",0.014702292,0.00046491623,0.012490907,0.005458082,"2021-05-21",0,0,0,0,0,0,0,0
645492,0,0,1,3,7,1,0,"2022-02-22T02:37:17.000Z","@lidiayagan @ElisaLoncon @TiareHey @MamaniIsabella 🤡🤡","replied_to","No Error",0.016838523,0.00088214874,0.0115029,0.005574594,"2022-02-22",0,0,0,0,0,0,0,0
645969,0,0,1,5,10,1,0,"2022-04-09T02:37:27.000Z","@Jaime_Bassa Tienen la estadística de cuantas normas por conglomerado fueron presentadas, aprobadas/rechazadas, etc?? Y por constituyente ?","replied_to","No Error",0.006754258,0.00027179718,0.007968879,0.0053286245,"2022-04-09",0,0,0,0,0,0,0,0
